Username;Game;In-game-time;Date
AdamVonBadam;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 29s 617ms (in-game time) (- place);25m 29s 617ms ();2021-04-21
AdamVonBadam;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 48m 10s 350ms (in-game time) (- place);48m 10s 350ms ();2021-04-19
ADANDOC;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 16s 100ms (in-game time) (304th place);18m 16s 100ms ();2021-03-09
ADANDOC;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 29m 21s 040ms (in-game time) (- place);29m 21s 040ms ();2020-10-25
addisonXx_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 19m 36s 300ms (in-game time) (432nd place);19m 36s 300ms ();2021-06-14
Ahreo;Any% Glitchless - Random Seed, 1.16+							(Easy, F3, CaffeineMC)						 19m 09s 025ms (in-game time) (381st place);19m 09s 025ms ();2021-04-30
Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 46s 850ms (in-game time) (346th place);18m 46s 850ms ();2021-06-22
Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 38s 400ms (in-game time) (- place);21m 38s 400ms ();2021-06-14
Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 03s 200ms (in-game time) (- place);27m 03s 200ms ();2021-04-22
Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 56m 04s 070ms (in-game time) (- place);56m 04s 070ms ();2021-01-22
alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 12s 900ms (in-game time) (131st place);16m 12s 900ms ();2021-05-04
alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 12s 350ms (in-game time) (- place);19m 12s 350ms ();2021-03-04
alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 27s 550ms (in-game time) (- place);21m 27s 550ms ();2021-01-29
alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 17s 550ms (in-game time) (- place);25m 17s 550ms ();2021-01-09
alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 26s 700ms (in-game time) (- place);26m 26s 700ms ();2020-12-17
Alxei;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 16s 400ms (in-game time) (209th place);17m 16s 400ms ();2021-04-10
AMBERLOVESARCHIE;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 57s (in-game time) (276th place);17m 57s ();2021-04-30
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 15s 933ms (in-game time) (42nd place);14m 15s 933ms ();2021-05-09
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 42s 250ms (in-game time) (- place);16m 42s 250ms ();2021-04-23
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 34s 700ms (in-game time) (- place);20m 34s 700ms ();2021-04-07
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 21s 400ms (in-game time) (- place);21m 21s 400ms ();2021-04-04
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 00s 100ms (in-game time) (- place);22m 00s 100ms ();2021-04-01
Ancoboy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 50s 900ms (in-game time) (- place);22m 50s 900ms ();2021-03-20
