Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
1523rd,Manaclaw,1h 08m 25s,1h 08m 12s,1h 08m 12s (in-game time),1.16.1,Easy,F3,CaffeineMC,7 months ago,,,https://www.speedrun.com/user/Manaclaw
1524th,MrDootDoot,1h 08m 13s 540ms,1h 08m 13s 540ms,1h 08m 13s 540ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/MrDootDoot
1525th,TonightGamingBangla,1h 19m 02s 000ms,1h 08m 18s 000ms,1h 08m 18s 000ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/TonightGamingBangla
1526th,Squeeb256,1h 08m 53s,1h 08m 24s,1h 08m 24s (in-game time),1.16.2,Easy,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Squeeb256
1527th,GiuLor,1h 08m 30s 920ms,1h 08m 30s 920ms,1h 08m 30s 920ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/GiuLor
1528th,OzoPolar,,1h 08m 39s 900ms,1h 08m 39s 900ms (in-game time),1.16.1,Easy,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/OzoPolar
1529th,SmallRaptor,1h 08m 51s,1h 08m 51s,1h 08m 51s (in-game time),1.16.1,Easy,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/SmallRaptor
1530th,Phasidea,1h 08m 51s 074ms,1h 08m 51s 074ms,1h 08m 51s 074ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/Phasidea
1531st,MGKTarget,1h 08m 54s,1h 08m 54s,1h 08m 54s (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/MGKTarget
1532nd,MagicBraden1,1h 09m 19s 049ms,1h 09m 16s 065ms,1h 09m 16s 065ms (in-game time),1.16.1,Easy,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/MagicBraden1
1533rd,Starler12,1h 09m 17s,1h 09m 17s,1h 09m 17s (in-game time),1.16.1,Normal,F3,Optifine,7 months ago,,,https://www.speedrun.com/user/Starler12
1534th,OutplayedByBoris,1h 13m 12s 050ms,1h 09m 22s 070ms,1h 09m 22s 070ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/OutplayedByBoris
1535th,V1ert,1h 09m 29s 860ms,1h 09m 29s 860ms,1h 09m 29s 860ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/V1ert
1536th,WhoDisz,1h 09m 59s 055ms,1h 09m 59s 055ms,1h 09m 59s 055ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/WhoDisz
1537th,b00mbah,1h 10m 02s,1h 10m 02s,1h 10m 02s (in-game time),1.16.1,Normal,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/b00mbah
1538th,Lawro,1h 10m 11s,1h 10m 03s,1h 10m 03s (in-game time),1.16.1,Easy,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Lawro
1539th,Zaquata,1h 10m 04s 028ms,1h 10m 04s 028ms,1h 10m 04s 028ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Zaquata
1540th,k3rmit,1h 10m 06s,1h 10m 06s,1h 10m 06s (in-game time),1.16.1,Easy,F3,Optifine,8 months ago,,,https://www.speedrun.com/user/k3rmit
1541st,BlitzAshspear,1h 10m 12s,1h 10m 12s,1h 10m 12s (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/BlitzAshspear
1542nd,AppleGod,1h 10m 19s 037ms,1h 10m 19s 037ms,1h 10m 19s 037ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/AppleGod
1543rd,Fundy,1h 10m 21s 046ms,1h 10m 21s 046ms,1h 10m 21s 046ms (in-game time),1.16.1,Hard,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Fundy
1544th,mylanjari.,1h 10m 27s,1h 10m 27s,1h 10m 27s (in-game time),1.16.1,Normal,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/mylanjari.
1545th,Smola17,1h 10m 32s 630ms,1h 10m 30s 100ms,1h 10m 30s 100ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Smola17
1546th,Mr_Flibble1981,1h 10m 33s,1h 10m 33s,1h 10m 33s (in-game time),1.16.1,Easy,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Mr_Flibble1981
1547th,Dustq,1h 10m 35s 670ms,1h 10m 35s 350ms,1h 10m 35s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Dustq
1548th,Imprent,1h 09m 16s 097ms,1h 10m 42s 004ms,1h 10m 42s 004ms (in-game time),1.16.1,Hardcore,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Imprent
1549th,LinkTijger,1h 11m 02s 007ms,1h 11m 02s 007ms,1h 11m 02s 007ms (in-game time),1.16.1,Easy,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/LinkTijger
1550th,CrystalCube,1h 11m 17s 900ms,1h 11m 17s 900ms,1h 11m 17s 900ms (in-game time),1.16.1,Normal,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/CrystalCube
1551st,WhiteSoapstone,1h 11m 20s,1h 11m 20s,1h 11m 20s (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/WhiteSoapstone
1552nd,AmDuck,1h 12m 03s 130ms,1h 11m 26s 250ms,1h 11m 26s 250ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/AmDuck
1553rd,strikewind,1h 11m 42s,1h 11m 42s,1h 11m 42s (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/strikewind
1554th,fogoqueimado,1h 11m 54s 065ms,1h 11m 54s 065ms,1h 11m 54s 065ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/fogoqueimado
1555th,Boostbend,1h 11m 56s,1h 11m 56s,1h 11m 56s (in-game time),1.16.1,Hardcore,F3,Optifine,7 months ago,,,https://www.speedrun.com/user/Boostbend
1556th,sanfarans,1h 12m 39s,1h 12m 09s,1h 12m 09s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/sanfarans
1557th,Gopi,1h 12m 46s 730ms,1h 12m 09s 700ms,1h 12m 09s 700ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Gopi
1558th,Reloe,1h 12m 18s,1h 12m 18s,1h 12m 18s (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Reloe
1559th,ProssGame,1h 13m 07s 500ms,1h 12m 54s 800ms,1h 12m 54s 800ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/ProssGame
1560th,Quantum_,1h 13m 05s 320ms,1h 12m 56s 300ms,1h 12m 56s 300ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Quantum_
1561st,Me_Gusta_Pog,1h 13m 01s,1h 13m 01s,1h 13m 01s (in-game time),1.16.1,Normal,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Me_Gusta_Pog
1562nd,Richbug,1h 13m 04s 076ms,1h 13m 04s 076ms,1h 13m 04s 076ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Richbug
1563rd,Rwon,1h 13m 04s 830ms,1h 13m 04s 830ms,1h 13m 04s 830ms (in-game time),1.16.1,Normal,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/Rwon
1564th,Flatbar,1h 13m 09s,1h 13m 09s,1h 13m 09s (in-game time),1.16.1,Normal,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/Flatbar
1565th,TheLameOne,1h 17m 31s 933ms,1h 13m 11s 607ms,1h 13m 11s 607ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/TheLameOne
1566th,Maygik,1h 28m 02s 890ms,1h 13m 14s 350ms,1h 13m 14s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Maygik
