Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
376th,Cezoram,23m 59s 005ms,23m 59s 005ms,23m 59s 005ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Cezoram
377th,purplestardust,24m 29s 092ms,23m 59s 090ms,23m 59s 090ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/purplestardust
378th,ExRaye,24m 28s 480ms,23m 59s 650ms,23m 59s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/ExRaye
379th,GhilleSuitDude,24m 01s 820ms,24m 01s 820ms,24m 01s 820ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/GhilleSuitDude
380th,zakvielchannel,24m 02s 020ms,24m 02s,24m 02s (in-game time),1.16.1,Normal,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/zakvielchannel
381st,benet,24m 08s 100ms,24m 03s 667ms,24m 03s 667ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/benet
382nd,actwashere,24m 27s 068ms,24m 04s 020ms,24m 04s 020ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/actwashere
383rd,BadIdeas,24m 36s 420ms,24m 04s 150ms,24m 04s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/BadIdeas
384th,TPatt,24m 11s 020ms,24m 05s 150ms,24m 05s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/TPatt
385th,braydon,24m 52s 140ms,24m 06s 200ms,24m 06s 200ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/braydon
386th,NEslacks,25m 15s 110ms,24m 06s 450ms,24m 06s 450ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/NEslacks
387th,MrDishy,24m 08s 072ms,24m 08s 072ms,24m 08s 072ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/MrDishy
388th,aaronjac69,24m 12s 570ms,24m 08s 200ms,24m 08s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/aaronjac69
389th,Draaph,24m 14s 920ms,24m 08s 700ms,24m 08s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Draaph
390th,BTMC,24m 24s,24m 12s,24m 12s (in-game time),1.16.1,Normal,No F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/BTMC
391st,tidusMAX,24m 21s 550ms,24m 12s 800ms,24m 12s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/tidusMAX
392nd,SirEthan27,24m 40s 160ms,24m 14s 500ms,24m 14s 500ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/SirEthan27
393rd,ZaqAttack,24m 14s 600ms,24m 14s 600ms,24m 14s 600ms (in-game time),1.16.1,Normal,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/ZaqAttack
394th,UnfairSilver,24m 35s 610ms,24m 14s 700ms,24m 14s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/UnfairSilver
395th,neoprene,24m 46s 207ms,24m 14s 950ms,24m 14s 950ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/neoprene
396th,MineBot420,24m 15s 180ms,24m 15s 180ms,24m 15s 180ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MineBot420
397th,Blyez,24m 19s 200ms,24m 16s 600ms,24m 16s 600ms (in-game time),1.16.1,Hardcore,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Blyez
398th,thenoochm,24m 17s 200ms,24m 17s 300ms,24m 17s 300ms (in-game time),1.16.1,Normal,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/thenoochm
399th,GigaFang,24m 20s 095ms,24m 18s 080ms,24m 18s 080ms (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/GigaFang
400th,SuperstarJFG,24m 47s 817ms,24m 18s 500ms,24m 18s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/SuperstarJFG
401st,SeanRaider,24m 30s,24m 19s,24m 19s (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/SeanRaider
402nd,Flaff,25m 04s 250ms,24m 19s 750ms,24m 19s 750ms (in-game time),1.16,Normal,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Flaff
403rd,Juniper,24m 36s 560ms,24m 20s 050ms,24m 20s 050ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Juniper
404th,Javascript,24m 23s 433ms,24m 20s 633ms,24m 20s 633ms (in-game time),1.16.1,Easy,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/Javascript
405th,DesktopFolder,24m 23s 440ms,24m 20s 850ms,24m 20s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/DesktopFolder
406th,Texelek,25m 15s 670ms,24m 23s 550ms,24m 23s 550ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/Texelek
407th,_JayBee,24m 41s 100ms,24m 25s,24m 25s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/_JayBee
408th,PozXNivMC,24m 27s 950ms,24m 25s 061ms,24m 25s 061ms (in-game time),1.16.1,Easy,F3,Vanilla,3 weeks ago,,,https://www.speedrun.com/user/PozXNivMC
409th,LudvigL,22m 50s 810ms,24m 26s 800ms,24m 26s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/LudvigL
410th,Epicker,24m 29s 980ms,24m 27s 450ms,24m 27s 450ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Epicker
411th,Vivek295,24m 50s 830ms,24m 29s 150ms,24m 29s 150ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Vivek295
412th,JUSTVINII,24m 45s 057ms,24m 30s,24m 30s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/JUSTVINII
413th,ElaMeTrataDif,26m 19s 800ms,24m 34s 800ms,24m 34s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/ElaMeTrataDif
414th,_Mr_Dead_,24m 43s 220ms,24m 34s 950ms,24m 34s 950ms (in-game time),1.16,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/_Mr_Dead_
415th,Pogsaka,24m 41s 130ms,24m 36s 250ms,24m 36s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Pogsaka
415th,JasonD_42,25m 24s 610ms,24m 36s 250ms,24m 36s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/JasonD_42
417th,Latezk,25m 00s 540ms,24m 38s 400ms,24m 38s 400ms (in-game time),1.16.1,Easy,F3,Vanilla,2 weeks ago,,,https://www.speedrun.com/user/Latezk
418th,Shuhi1,24m 46s 910ms,24m 38s 450ms,24m 38s 450ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Shuhi1
419th,bernus,24m 42s 030ms,24m 42s 030ms,24m 42s 030ms (in-game time),1.16.1,Easy,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/bernus
420th,Alantu,25m 05s,24m 43s,24m 43s (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/Alantu
421st,PresidentPoundcake,25m 09s 007ms,24m 43s 055ms,24m 43s 055ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/PresidentPoundcake
422nd,Soky,25m 28s 017ms,24m 44s 050ms,24m 44s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Soky
423rd,SardsSan,25m 03s 860ms,24m 44s 450ms,24m 44s 450ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/SardsSan
424th,Lathil,25m 05s 960ms,24m 45s,24m 45s (in-game time),1.16.1,Normal,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Lathil
425th,ManDace,24m 54s 300ms,24m 45s 800ms,24m 45s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/ManDace
426th,4bdu1,24m 49s 012ms,24m 46s 070ms,24m 46s 070ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/4bdu1
427th,xcfy,25m 07s 260ms,24m 47s 600ms,24m 47s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/xcfy
428th,JustAnCow,25m 04s 500ms,24m 48s 600ms,24m 48s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/JustAnCow
429th,averageteencuber,25m 06s 150ms,24m 48s 640ms,24m 48s 640ms (in-game time),1.16.1,Hard,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/averageteencuber
430th,Tomay0,24m 54s 350ms,24m 48s 650ms,24m 48s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/Tomay0
431st,OdiZ,24m 50s 089ms,24m 50s 089ms,24m 50s 089ms (in-game time),1.16.1,Normal,F3,CaffeineMC,7 months ago,,,https://www.speedrun.com/user/OdiZ
432nd,Max676,25m 13s 065ms,24m 54s 015ms,24m 54s 015ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Max676
433rd,drvgxxn,25m 15s 066ms,24m 54s 065ms,24m 54s 065ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/drvgxxn
434th,zhaopoww,24m 57s 660ms,24m 55s 200ms,24m 55s 200ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/zhaopoww
435th,Dawidluna,25m 31s 490ms,24m 57s 150ms,24m 57s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Dawidluna
436th,Jack0fHearts,25m 07s 970ms,24m 58s 055ms,24m 58s 055ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Jack0fHearts
437th,Falsepog,25m 19s 470ms,25m 01s 850ms,25m 01s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Falsepog
438th,dominn,25m 18s 081ms,25m 04s 090ms,25m 04s 090ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/dominn
439th,Boe6Eod7Nty,25m 43s 470ms,25m 04s 650ms,25m 04s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Boe6Eod7Nty
440th,JohnCarlson,25m 47s 810ms,25m 07s 600ms,25m 07s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/JohnCarlson
441st,Rildom,25m 22s 055ms,25m 09s 010ms,25m 09s 010ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Rildom
442nd,MrFeathery,25m 30s 640ms,25m 10s,25m 10s (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/MrFeathery
443rd,Galactic,25m 22s 066ms,25m 11s 005ms,25m 11s 005ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Galactic
444th,Desert_Yeti,27m 38s 089ms,25m 11s 010ms,25m 11s 010ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Desert_Yeti
445th,Omitts,25m 31s 140ms,25m 11s 050ms,25m 11s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Omitts
446th,Leatherbarrow,25m 23s 044ms,25m 13s 020ms,25m 13s 020ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Leatherbarrow
447th,Tolinn,25m 48s 880ms,25m 13s 746ms,25m 13s 746ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/Tolinn
448th,Weesely,25m 19s 560ms,25m 14s,25m 14s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Weesely
449th,Stoffe,25m 14s 062ms,25m 14s 062ms,25m 14s 062ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Stoffe
450th,overcomplexifii,25m 14s 170ms,25m 14s 170ms,25m 14s 170ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/overcomplexifii
451st,ByJoes,25m 35s 005ms,25m 17s 090ms,25m 17s 090ms (in-game time),1.16.1,Easy,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/ByJoes
452nd,Pumbuh,25m 36s 233ms,25m 17s 400ms,25m 17s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Pumbuh
453rd,Bayermaster,25m 50s 090ms,25m 18s 180ms,25m 18s 180ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Bayermaster
454th,Psemcovici,25m 44s 042ms,25m 22s 065ms,25m 22s 065ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Psemcovici
455th,k1notv,25m 33s 036ms,25m 22s 080ms,25m 22s 080ms (in-game time),1.16.1,Easy,F3,Vanilla,1 week ago,,,https://www.speedrun.com/user/k1notv
456th,90Tom,25m 35s 070ms,25m 23s 350ms,25m 23s 350ms (in-game time),1.16.1,Normal,F3,Vanilla,1 week ago,,,https://www.speedrun.com/user/90Tom
457th,mingo_XD,25m 34s 110ms,25m 23s 800ms,25m 23s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/mingo_XD
458th,TheFabo,25m 26s 740ms,25m 26s 740ms,25m 26s 740ms (in-game time),1.16.1,Easy,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/TheFabo
459th,syrup__,25m 42s 230ms,25m 27s 300ms,25m 27s 300ms (in-game time),1.16.1,Easy,F3,Vanilla,1 week ago,,,https://www.speedrun.com/user/syrup__
460th,Keima,25m 36s 670ms,25m 27s 400ms,25m 27s 400ms (in-game time),1.16.1,Easy,F3,Vanilla,3 weeks ago,,,https://www.speedrun.com/user/Keima
461st,vipor,26m 07s 660ms,25m 27s 850ms,25m 27s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/vipor
462nd,Sharkey91,25m 44s,25m 30s 750ms,25m 30s 750ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Sharkey91
463rd,Ceawag,26m 11s 450ms,25m 32s 050ms,25m 32s 050ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Ceawag
464th,Codyumm,26m 24s 170ms,25m 35s 450ms,25m 35s 450ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Codyumm
465th,Dogau,25m 50s 026ms,25m 36s 070ms,25m 36s 070ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/Dogau
466th,RmaGod,25m 41s 065ms,25m 37s,25m 37s (in-game time),1.16.1,Hardcore,F3,Optifine,8 months ago,,,https://www.speedrun.com/user/RmaGod
467th,Vekzys,25m 53s 810ms,25m 38s 800ms,25m 38s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Vekzys
468th,NRD-HRD3,26m 06s 870ms,25m 39s 850ms,25m 39s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/NRD-HRD3
469th,nick_leyesa,26m 04s 530ms,25m 39s 900ms,25m 39s 900ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/nick_leyesa
470th,PandapigGamer,25m 57s 006ms,25m 42s 050ms,25m 42s 050ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/PandapigGamer
471st,Aeroshide,25m 51s 870ms,25m 42s 550ms,25m 42s 550ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Aeroshide
471st,floonf,25m 52s 800ms,25m 42s 550ms,25m 42s 550ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/floonf
473rd,Eaxy,26m 10s 680ms,25m 44s 350ms,25m 44s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Eaxy
474th,Teraktet,26m 06s 440ms,25m 45s 345ms,25m 45s 345ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Teraktet
475th,Heqtor,25m 45s 910ms,25m 45s 910ms,25m 45s 910ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Heqtor
476th,natemeister,26m 05s 000ms,25m 46s 000ms,25m 46s 000ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/natemeister
477th,RealSpeed,25m 46s 240ms,25m 46s 240ms,25m 46s 240ms (in-game time),1.16.1,Normal,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/RealSpeed
478th,peet_jr,25m 51s 550ms,25m 47s 500ms,25m 47s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/peet_jr
479th,Entropy,25m 47s 660ms,25m 47s 600ms,25m 47s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Entropy
480th,FoolishGamers,25m 49s,25m 49s,25m 49s (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/FoolishGamers
481st,HIZZ,25m 54s 460ms,25m 49s 400ms,25m 49s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/HIZZ
482nd,ioioiee,26m 03s 420ms,25m 50s 500ms,25m 50s 500ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/ioioiee
483rd,ybot76,25m 54s 160ms,25m 53s 370ms,25m 53s 370ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/ybot76
484th,NOSKELETON,25m 58s,25m 55s 900ms,25m 55s 900ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/NOSKELETON
485th,nëonXD,27m 57s 970ms,25m 56s 700ms,25m 56s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/neonXD
486th,Refferency,25m 57s 390ms,25m 57s 390ms,25m 57s 390ms (in-game time),1.16.1,Normal,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/Refferency
487th,TheItalianFeller,26m 28s 990ms,25m 57s 850ms,25m 57s 850ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/TheItalianFeller
488th,Redpaanda,26m 01s 450ms,25m 58s 950ms,25m 58s 950ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Redpaanda
489th,MagneticMaybe,26m 10s 660ms,25m 59s 700ms,25m 59s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/MagneticMaybe
490th,AdrianAyVa,25m 59s 066ms,26m 00s 010ms,26m 00s 010ms (in-game time),1.16.1,Normal,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/AdrianAyVa
491st,G1bnick,28m 35s,26m 02s 600ms,26m 02s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/G1bnick
492nd,DuckyTheEpicDuck,26m 05s,26m 03s,26m 03s (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/DuckyTheEpicDuck
493rd,Novawolf,26m 08s 550ms,26m 03s 550ms,26m 03s 550ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Novawolf
494th,Ravalle,26m 33s 300ms,26m 04s 900ms,26m 04s 900ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Ravalle
495th,SlippySlipper,26m 16s 018ms,26m 05s 065ms,26m 05s 065ms (in-game time),1.16.1,Normal,No F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/SlippySlipper
496th,Realc14,28m 09s 100ms,26m 06s 600ms,26m 06s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Realc14
497th,enforcedsun,26m 11s 022ms,26m 07s 008ms,26m 07s 008ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/enforcedsun
498th,MendedBiscuit,26m 38s 660ms,26m 08s 150ms,26m 08s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MendedBiscuit
499th,Nwjoo,26m 21s 026ms,26m 08s 850ms,26m 08s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/Nwjoo
500th,SnoopTurducken,26m 40s 006ms,26m 09s 065ms,26m 09s 065ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/SnoopTurducken
501st,ArdaWiraz,26m 09s 540ms,26m 09s 250ms,26m 09s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/ArdaWiraz
502nd,Erupt,26m 11s 025ms,26m 11s 055ms,26m 11s 055ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Erupt
503rd,Malamber,26m 11s 800ms,26m 11s 360ms,26m 11s 360ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Malamber
504th,Tenori,26m 22s 060ms,26m 13s 500ms,26m 13s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Tenori
505th,NileyRidingus,26m 28s 340ms,26m 14s 200ms,26m 14s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/NileyRidingus
506th,randomnin7,26m 35s 830ms,26m 14s 250ms,26m 14s 250ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/randomnin7
507th,13ricity,26m 29s,26m 14s 350ms,26m 14s 350ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/13ricity
508th,Cronzorz,26m 17s 800ms,26m 15s 200ms,26m 15s 200ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Cronzorz
509th,LumatDR,26m 16s 360ms,26m 16s 360ms,26m 16s 360ms (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/LumatDR
510th,Scuf,26m 33s 740ms,26m 17s 650ms,26m 17s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Scuf
511th,TalonTrottinIan,26m 29s 900ms,26m 19s 750ms,26m 19s 750ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/TalonTrottinIan
512th,PerveRonyy,26m 33s 210ms,26m 19s 800ms,26m 19s 800ms (in-game time),1.16.1,Hardcore,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/PerveRonyy
513th,Fireburner,26m 21s 950ms,26m 21s 950ms,26m 21s 950ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Fireburner
514th,Killer-Spliff,26m 20s 059ms,26m 22s 005ms,26m 22s 005ms (in-game time),1.6.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Killer-Spliff
515th,yeskaleb,26m 28s 910ms,26m 22s 080ms,26m 22s 080ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/yeskaleb
516th,Jace174,26m 46s 750ms,26m 22s 850ms,26m 22s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Jace174
517th,jakubusieg,26m 25s,26m 25s,26m 25s (in-game time),1.16.1,Easy,F3,Vanilla,6 days ago,,,https://www.speedrun.com/user/jakubusieg
518th,Preyz,26m 25s 039ms,26m 25s 039ms,26m 25s 039ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Preyz
519th,Tranch,26m 28s 350ms,26m 25s 600ms,26m 25s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Tranch
520th,RaisinBranden,26m 27s 410ms,26m 27s 350ms,26m 27s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/RaisinBranden
521st,CatlessCat,26m 37s 260ms,26m 28s 850ms,26m 28s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/CatlessCat
522nd,Chreymd,26m 29s 660ms,26m 29s 660ms,26m 29s 660ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Chreymd
523rd,ilGaTu,26m 53s 380ms,26m 30s 750ms,26m 30s 750ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/ilGaTu
524th,Cleanfel,26m 56s 000ms,26m 32s 000ms,26m 32s 000ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Cleanfel
524th,muma,27m 07s 370ms,26m 32s 600ms,26m 32s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/muma
526th,Penguin1209,27m 07s 570ms,26m 33s 250ms,26m 33s 250ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Penguin1209
