Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
LlewvLlewv,14m 36s 833ms,14m 30s 200ms,1.16,1.16.1,Easy,F3,2021-04-19,Llewv
SergioWottSergioWott,14m 34s 267ms,14m 33s 250ms,1.16,1.16.1,Easy,F3,2021-04-10,SergioWott
empsemps,14m 56s,14m 33s 600ms,1.16,1.16.1,Easy,F3,2021-05-31,emps
PsemcoviciPsemcovici,14m 46s 920ms,14m 34s 350ms,1.16,1.16.1,Normal,F3,2021-06-16,Psemcovici
tinsoningtinsoning,14m 53s 183ms,14m 36s 800ms,1.16,1.16.1,Easy,F3,2021-05-15,tinsoning
LucPerecOgurecLucPerecOgurec,14m 52s 683ms,14m 39s 950ms,1.16,1.16.1,Hardcore,F3,2021-04-01,LucPerecOgurec
fivekruegersfivekruegers,14m 43s 700ms,14m 42s 800ms,1.16,1.16.1,Normal,F3,2021-04-14,fivekruegers
LKiyoLKiyo,15m 21s 400ms,14m 44s,1.16,1.16.1,Easy,F3,2021-05-21,LKiyo
tobeeetobeee,15m 00s 400ms,14m 45s,1.16,1.16.1,Easy,F3,2021-05-19,tobeee
MilancheMilanche,14m 45s 405ms,14m 45s 350ms,1.16,1.16.1,Easy,F3,2021-05-04,Milanche
GalogGalog,14m 51s 070ms,14m 45s 900ms,1.16,1.16.1,Easy,F3,2021-04-11,Galog
DanDannyBoyDanDannyBoy,15m 04s 700ms,14m 48s 833ms,1.16,1.16.1,Easy,F3,2021-03-30,DanDannyBoy
polp7polp7,14m 52s 072ms,14m 52s 075ms,1.16,1.16.1,Easy,F3,2021-06-01,polp7
speedsilverrspeedsilverr,14m 55s 079ms,14m 53s 085ms,1.16,1.16.1,Normal,F3,2021-05-23,speedsilverr
WaluyoshiWaluyoshi,15m 07s 240ms,14m 53s 200ms,1.16,1.16.1,Easy,F3,2021-04-19,Waluyoshi
AuntSnailAuntSnail,15m 02s 070ms,14m 57s,1.16,1.16.1,Normal,F3,2021-05-20,AuntSnail
Landslide88Landslide88,15m 02s 210ms,14m 57s 267ms,1.16,1.16.1,Easy,F3,2021-02-23,Landslide88
marinersfan824marinersfan824,15m 05s 834ms,14m 57s 600ms,1.16,1.16.1,Easy,F3,2021-05-05,marinersfan824
Mahmoud390Mahmoud390,15m 27s 400ms,14m 58s 300ms,1.16,1.16.1,Easy,F3,2021-06-15,Mahmoud390
TrustIssuesTrustIssues,15m 09s 117ms,15m 02s 050ms,1.16,1.16.1,Easy,F3,2021-04-29,TrustIssues
QwertyupoilpQwertyupoilp,,15m 03s,1.16,1.16.1,Easy,F3,2021-05-11,Qwertyupoilp
mrhalfmrhalf,15m 14s 200ms,15m 04s 050ms,1.16,1.16.1,Easy,F3,2021-04-22,mrhalf
BabolixPLBabolixPL,15m 12s 470ms,15m 07s 350ms,1.16,1.16.1,Normal,F3,2021-03-23,BabolixPL
jwormjworm,15m 12s 017ms,15m 10s 050ms,1.16,1.16.1,Easy,F3,2021-04-08,jworm
GellatoGellato,15m 11s,15m 11s,1.16,1.16.1,Easy,F3,2021-04-23,Gellato
MarmeyMarmey,15m 12s 440ms,15m 12s 750ms,1.16,1.16.1,Easy,F3,2021-04-16,Marmey
LaRuimLaRuim,15m 44s 090ms,15m 16s 050ms,1.16,1.16.1,Easy,F3,2021-03-31,LaRuim
KaiFi007KaiFi007,15m 32s 500ms,15m 22s 150ms,1.16,1.16.1,Easy,F3,2021-05-14,KaiFi007
SammyGSammyG,15m 34s,15m 23s,1.16,1.16.1,Normal,F3,2021-06-17,SammyG
dappersdappers,15m 24s 740ms,15m 24s 150ms,1.16,1.16.1,Normal,F3,2021-03-29,dappers
wenliangwenliang,15m 30s 850ms,15m 30s 400ms,1.16,1.16.1,Normal,F3,2021-04-11,wenliang
TynoconiaTynoconia,15m 42s,15m 38s 400ms,1.16,1.16.1,Easy,F3,2021-06-05,Tynoconia
DoWiiiiDoWiiii,16m 04s 730ms,15m 42s 250ms,1.16,1.16.1,Easy,F3,2021-04-16,DoWiiii
MouseyPCMouseyPC,15m 50s 420ms,15m 42s 800ms,1.16,1.16.1,Easy,F3,2021-05-04,MouseyPC
KenForestKenForest,15m 46s 133ms,15m 43s 533ms,1.16,1.16.1,Easy,F3,2021-04-14,KenForest
GamerKhanGamerKhan,16m 02s 300ms,15m 45s 650ms,1.16,1.16.1,Easy,F3,2021-04-21,GamerKhan
ShadowReSShadowReS,15m 46s 780ms,15m 47s,1.16,1.16.1,Easy,F3,2021-03-22,ShadowReS
TheBeanManYTTheBeanManYT,15m 58s 005ms,15m 48s 075ms,1.16,1.16.1,Easy,F3,2021-04-22,TheBeanManYT
ForykehForykeh,15m 49s 570ms,15m 48s 750ms,1.16,1.16.1,Easy,F3,2021-06-11,Forykeh
CannalystCannalyst,15m 49s 068ms,15m 49s 095ms,1.16,1.16.1,Easy,F3,2021-05-29,Cannalyst
RildomRildom,15m 52s 530ms,15m 50s 550ms,1.16,1.16.1,Easy,F3,2021-03-18,Rildom
MyricalMyrical,15m 53s 840ms,15m 52s 400ms,1.16,1.16.1,Easy,F3,2021-03-24,Myrical
