Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
Kolbz_,20m 11s 450ms,20m 11s 450ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/daniotrix
daniotrix,20m 11s 580ms,20m 11s 580ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/sl1dr
sl1dr,21m 00s 050ms,20m 12s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/DunceDuck
DunceDuck,20m 22s 860ms,20m 13s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ulsahin
ulsahin,21m 08s 120ms,20m 14s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Orangenox
Orangenox,20m 52s 540ms,20m 17s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/NitroBS
NitroBS,20m 38s 850ms,20m 19s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Idkcdt
Idkcdt,20m 38s 850ms,20m 21s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MalyHD
MalyHD,20m 45s 370ms,20m 22s 100ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/yellowl
yellowl,20m 57s,20m 24s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Kevzhumba
Kevzhumba,20m 47s 180ms,20m 24s 400ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/luisferbarragan
luisferbarragan,20m 31s 460ms,20m 26s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Shafin
Shafin,24m 49s 600ms,20m 26s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/cipherXn
cipherXn,20m 43s 800ms,20m 27s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/LordOfDarkness
LordOfDarkness,20m 39s 580ms,20m 27s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Danningz
Danningz,20m 50s,20m 28s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Pedrodbr
Pedrodbr,20m 35s 320ms,20m 28s 210ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TendingSea1
TendingSea1,20m 39s 030ms,20m 29s 650ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/City
City,20m 36s,20m 30s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Alterro
Alterro,21m 01s 810ms,20m 31s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/JuliusTheTinyDog
JuliusTheTinyDog,20m 35s,20m 32s,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/Biff
Biff,21m 00s 280ms,20m 32s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/leonaril
leonaril,21m 04s 550ms,20m 35s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/XKon23
XKon23,20m 49s 400ms,20m 41s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/HawkeyePizza
HawkeyePizza,20m 56s 110ms,20m 41s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ryancflam
ryancflam,20m 48s,20m 41s 757ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Blayyzi
Blayyzi,21m 05s 390ms,20m 42s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/kolegaoliwier
kolegaoliwier,21m 07s 680ms,20m 43s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Oskobosko
Oskobosko,21m 09s 000ms,20m 43s 000ms,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/ypno_ny
ypno_ny,20m 47s 060ms,20m 43s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Venitroll
